#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 07 25 22 30 142  4.3  5.4 99.00 99.00 99.00 999 1014.1  29.1  29.8  25.2 99.0 99.00
2021 07 25 22 40 141  4.1  5.4  0.59  4.76  3.89 165 1014.0  29.1  29.8  25.0 99.0 99.00
2021 07 25 22 50 145  3.5  4.4 99.00 99.00 99.00 999 1013.9  29.1  29.8  25.2 99.0 99.00
2021 07 25 23 00 140  4.0  4.8 99.00 99.00 99.00 999 1013.7  29.1  29.8  25.1 99.0 99.00
2021 07 25 23 10 142  3.8  4.8 99.00 99.00 99.00 999 1013.6  29.1  29.8  25.2 99.0 99.00
2021 07 25 23 20 140  3.7  4.9 99.00 99.00 99.00 999 1013.5  29.0  29.8  25.1 99.0 99.00
2021 07 25 23 30 141  3.6  4.9 99.00 99.00 99.00 999 1013.5  29.1  29.8  25.1 99.0 99.00
2021 07 25 23 40 142  3.7  4.9  0.53  4.55  3.76 172 1013.4  29.0  29.8  25.0 99.0 99.00
2021 07 25 23 50 139  4.0  4.7 99.00 99.00 99.00 999 1013.4  29.0  29.8  25.1 99.0 99.00
2021 07 26 00 00 136  4.3  5.5 99.00 99.00 99.00 999 1013.3  29.0  29.8  25.1 99.0 99.00
2021 07 26 00 10 134  4.4  6.1 99.00 99.00 99.00 999 1013.2  29.0  29.8  25.1 99.0 99.00
2021 07 26 00 20 133  4.5  5.6 99.00 99.00 99.00 999 1013.2  29.0  29.8  25.1 99.0 99.00
2021 07 26 00 30 132  4.2  5.4 99.00 99.00 99.00 999 1013.2  29.0  29.8  25.1 99.0 99.00
2021 07 26 00 40 129  4.5  5.4  0.50  4.76  3.74 179 1013.1  29.0  29.8  25.2 99.0 99.00
2021 07 26 00 50 135  4.8  5.6 99.00 99.00 99.00 999 1013.0  28.9  29.8  25.1 99.0 99.00
2021 07 26 01 00 137  5.0  6.5 99.00 99.00 99.00 999 1013.0  28.9  29.8  25.1 99.0 99.00
