"","DATETIME","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"771",2021-08-27 13:40:00,348,18.1,22.5,1.5,2.4,2.9,332,1012.8,79.3,86,76.1,99,99
"34",2021-07-27 08:40:00,151,7.6,9.1,1,2.4,2.9,162,1013.9,83.7,85.1,76.1,99,99
"36",2021-07-27 10:40:00,176,4.9,6.2,0.9,2.4,3,166,1013.9,83.3,84.9,75.7,99,99
"44",2021-07-28 03:40:00,91,6.2,7.6,0.9,2.5,3,89,1015.5,84.6,85.6,76.3,99,99
"2299",2021-10-31 07:40:00,167,9.5,11.5,1.2,2.6,2.9,154,1013.6,77.4,80.6,60.4,99,99
"2300",2021-10-31 08:40:00,161,8.9,11.7,1.1,2.6,3,159,1013.5,77.5,79.7,61.7,99,99
"2301",2021-10-31 09:40:00,154,9.5,11.7,1.1,2.6,2.9,168,1013.4,77.5,79.7,61.2,99,99
"2312",2021-10-31 20:40:00,124,10.5,13.4,1.5,2.7,2.9,126,1015.5,79,81.3,65.1,99,99
"1744",2021-10-07 06:40:00,124,9.5,12.4,1.3,2.7,3.1,84,1016.8,81,84.4,64.9,99,99
"2302",2021-10-31 10:40:00,161,9.5,11.7,1.1,2.7,2.9,175,1013.7,77.7,79.7,62.1,99,99
"2314",2021-10-31 22:40:00,120,11.7,14.8,1.7,2.9,3.1,128,1016,78.3,81.3,65.7,99,99
"476",2021-08-15 06:40:00,114,7.6,9.3,1.6,2.9,3.4,78,1016.2,84.6,84.9,77,99,99
"1312",2021-09-19 02:40:00,112,12.1,15.6,1.6,2.9,3.1,61,1014,83.3,86,76.6,99,99
"97",2021-07-30 09:50:00,191,12.8,15.6,2,3,3.2,163,1015.4,83.7,85.3,77.9,99,99
"1314",2021-09-19 04:40:00,131,10.3,13.2,1.6,3,3.2,84,1014.1,83.5,85.8,75,99,99
"1793",2021-10-10 00:40:00,137,13.2,15.9,1.6,3,3.1,141,1011.8,81.9,84.4,74.3,99,99
"1337",2021-09-20 03:40:00,147,14.6,17.5,1.8,3.1,3.3,133,1011.9,84,86,77,99,99
"3233",2021-12-09 05:40:00,117,9.1,11.3,1.7,3.1,3.4,89,1014.5,75.4,74.5,72.9,99,99
